ENTIDAD,Mes,Año,Tipo_sequia
Chiapas,2,2013,NPS
Chiapas,2,2014,NPS
Chiapas,2,2015,NPS
Chiapas,2,2016,NPS
Chiapas,2,2017,NPS
Chiapas,2,2018,NPS
Chiapas,2,2019,D0
Chiapas,2,2020,D0
Chiapas,2,2021,NPS
Chiapas,3,2003,NPS
Chiapas,3,2004,NPS
Chiapas,3,2005,D1
Chiapas,3,2006,NPS
Chiapas,3,2007,D0
Chiapas,3,2008,NPS
Chiapas,3,2009,D0
Chiapas,3,2010,D2
Chiapas,3,2011,NPS
Chiapas,3,2012,NPS
Chiapas,3,2013,NPS
Chiapas,3,2014,NPS
Chiapas,3,2015,NPS
Chiapas,3,2016,NPS
Chiapas,3,2017,NPS
Chiapas,3,2018,D0
Chiapas,3,2019,D1
Chiapas,3,2020,D0
Chiapas,3,2021,NPS
Chiapas,4,2003,NPS
Chiapas,4,2004,NPS
Chiapas,4,2005,D1
Chiapas,4,2006,NPS
Chiapas,4,2007,D2
Chiapas,4,2008,NPS
Chiapas,4,2009,D0
Chiapas,4,2010,D3
Chiapas,4,2011,D1
Chiapas,4,2012,NPS
Chiapas,4,2013,D0
Chiapas,4,2014,NPS
Chiapas,4,2015,NPS
Chiapas,4,2016,D0
Chiapas,4,2017,NPS
Chiapas,4,2018,NPS
Chiapas,4,2019,D1
Chiapas,4,2020,D0
Chiapas,4,2021,D0
Chiapas,5,2003,NPS
Chiapas,5,2004,NPS
Chiapas,5,2005,D1
Chiapas,5,2006,NPS
Chiapas,5,2007,D1
Chiapas,5,2008,NPS
Chiapas,5,2009,NPS
Chiapas,5,2010,D2
Chiapas,5,2011,NPS
Chiapas,5,2012,NPS
Chiapas,5,2013,NPS
Chiapas,5,2014,NPS
Chiapas,5,2015,NPS
Chiapas,5,2016,NPS
Chiapas,5,2017,NPS
Chiapas,5,2018,NPS
Chiapas,5,2019,D1
Chiapas,5,2020,NPS
Chiapas,5,2021,NPS
Chiapas,6,2003,D0
Chiapas,6,2004,NPS
Chiapas,6,2005,NPS
Chiapas,6,2006,NPS
Chiapas,6,2007,D1
Chiapas,6,2008,NPS
Chiapas,6,2009,NPS
Chiapas,6,2010,D2
Chiapas,6,2011,D0
Chiapas,6,2012,NPS
Chiapas,6,2013,NPS
Chiapas,6,2014,NPS
Chiapas,6,2015,NPS
Chiapas,6,2016,D0
Chiapas,6,2017,D0
Chiapas,6,2018,D0
Chiapas,6,2019,D0
Chiapas,6,2020,NPS
Chiapas,6,2021,NPS
Chiapas,7,2003,D1
Chiapas,7,2004,NPS
Chiapas,7,2005,NPS
Chiapas,7,2006,NPS
Chiapas,7,2007,NPS
Chiapas,7,2008,NPS
Chiapas,7,2009,D0
Chiapas,7,2010,NPS
Chiapas,7,2011,NPS
Chiapas,7,2012,NPS
Chiapas,7,2013,NPS
Chiapas,7,2014,NPS
Chiapas,7,2015,D0
Chiapas,7,2016,D0
Chiapas,7,2017,D0
Chiapas,7,2018,D0
Chiapas,7,2019,D0
Chiapas,7,2020,NPS
Chiapas,7,2021,NPS
Chiapas,8,2003,NPS
Chiapas,8,2004,D0
Chiapas,8,2005,NPS
Chiapas,8,2006,NPS
Chiapas,8,2007,NPS
Chiapas,8,2008,NPS
Chiapas,8,2009,D1
Chiapas,8,2010,NPS
Chiapas,8,2011,NPS
Chiapas,8,2012,NPS
Chiapas,8,2013,NPS
Chiapas,8,2014,NPS
Chiapas,8,2015,D1
Chiapas,8,2016,D0
Chiapas,8,2017,D0
Chiapas,8,2018,D1
Chiapas,8,2019,D1
Chiapas,8,2020,NPS
Chiapas,8,2021,NPS
Chiapas,9,2003,D0
Chiapas,9,2004,D1
Chiapas,9,2005,NPS
Chiapas,9,2006,D0
Chiapas,9,2007,D0
Chiapas,9,2008,NPS
Chiapas,9,2009,D2
Chiapas,9,2010,NPS
Chiapas,9,2011,NPS
Chiapas,9,2012,NPS
Chiapas,9,2013,NPS
Chiapas,9,2014,NPS
Chiapas,9,2015,D1
Chiapas,9,2016,NPS
Chiapas,9,2017,D0
Chiapas,9,2018,D0
Chiapas,9,2019,D1
Chiapas,9,2020,NPS
Chiapas,10,2003,NPS
Chiapas,10,2004,D1
Chiapas,10,2005,NPS
Chiapas,10,2006,NPS
Chiapas,10,2007,NPS
Chiapas,10,2008,NPS
Chiapas,10,2009,D2
Chiapas,10,2010,NPS
Chiapas,10,2011,NPS
Chiapas,10,2012,NPS
Chiapas,10,2013,NPS
Chiapas,10,2014,NPS
Chiapas,10,2015,D0
Chiapas,10,2016,D1
Chiapas,10,2017,D0
Chiapas,10,2018,D0
Chiapas,10,2019,D1
Chiapas,10,2020,NPS
Chiapas,11,2003,NPS
Chiapas,11,2004,D1
Chiapas,11,2005,NPS
Chiapas,11,2006,D0
Chiapas,11,2007,NPS
Chiapas,11,2008,NPS
Chiapas,11,2009,D2
Chiapas,11,2010,NPS
Chiapas,11,2011,NPS
Chiapas,11,2012,NPS
Chiapas,11,2013,NPS
Chiapas,11,2014,NPS
Chiapas,11,2015,NPS
Chiapas,11,2016,NPS
Chiapas,11,2017,D0
Chiapas,11,2018,D0
Chiapas,11,2019,D0
Chiapas,11,2020,NPS
Chiapas,12,2003,NPS
Chiapas,12,2004,D1
Chiapas,12,2005,NPS
Chiapas,12,2006,NPS
Chiapas,12,2007,NPS
Chiapas,12,2008,D0
Chiapas,12,2009,D2
Chiapas,12,2010,NPS
Chiapas,12,2011,NPS
Chiapas,12,2012,NPS
Chiapas,12,2013,NPS
Chiapas,12,2014,NPS
Chiapas,12,2015,NPS
Chiapas,12,2016,D0
Chiapas,12,2017,D0
Chiapas,12,2018,D0
Chiapas,12,2019,NPS
Chiapas,12,2020,NPS
Chihuahua,1,2003,D1
Chihuahua,1,2004,D0
Chihuahua,1,2005,NPS
Chihuahua,1,2006,D1
Chihuahua,1,2007,NPS
Chihuahua,1,2008,D0
Chihuahua,1,2009,NPS
Chihuahua,1,2010,NPS
Chihuahua,1,2011,D0
Chihuahua,1,2012,D3
Chihuahua,1,2013,NPS
Chihuahua,1,2014,NPS
Chihuahua,1,2015,NPS
Chihuahua,1,2016,NPS
Chihuahua,1,2017,NPS
Chihuahua,1,2018,NPS
Chihuahua,1,2019,NPS
Chihuahua,1,2020,NPS
Chihuahua,1,2021,D2
Chihuahua,2,2003,D1
Chihuahua,2,2004,NPS
Chihuahua,2,2005,NPS
Chihuahua,2,2006,D2
Chihuahua,2,2007,NPS
Chihuahua,2,2008,D0
Chihuahua,2,2009,NPS
Chihuahua,2,2010,NPS
Chihuahua,2,2011,D0
Chihuahua,2,2012,D3
Chihuahua,2,2013,NPS
Chihuahua,2,2014,NPS
Chihuahua,2,2015,NPS
Chihuahua,2,2016,NPS
Chihuahua,2,2017,NPS
Chihuahua,2,2018,D0
Chihuahua,2,2019,NPS
Chihuahua,2,2020,NPS
Chihuahua,2,2021,D2
Chihuahua,3,2003,D1
Chihuahua,3,2004,D0
Chihuahua,3,2005,NPS
Chihuahua,3,2006,D1
Chihuahua,3,2007,NPS
Chihuahua,3,2008,D0
Chihuahua,3,2009,NPS
Chihuahua,3,2010,NPS
Chihuahua,3,2011,D3
Chihuahua,3,2012,D2
Chihuahua,3,2013,NPS
Chihuahua,3,2014,NPS
Chihuahua,3,2015,NPS
Chihuahua,3,2016,D0
Chihuahua,3,2017,NPS
Chihuahua,3,2018,D0
Chihuahua,3,2019,NPS
Chihuahua,3,2020,NPS
Chihuahua,3,2021,D2
Chihuahua,4,2003,D1
Chihuahua,4,2004,NPS
Chihuahua,4,2005,NPS
Chihuahua,4,2006,D2
Chihuahua,4,2007,NPS
Chihuahua,4,2008,D0
Chihuahua,4,2009,NPS
Chihuahua,4,2010,NPS
Chihuahua,4,2011,D3
Chihuahua,4,2012,D2
Chihuahua,4,2013,NPS
Chihuahua,4,2014,NPS
Chihuahua,4,2015,NPS
Chihuahua,4,2016,D0
Chihuahua,4,2017,NPS
Chihuahua,4,2018,D0
Chihuahua,4,2019,D0
Chihuahua,4,2020,NPS
Chihuahua,4,2021,D2
Chihuahua,5,2003,D1
Chihuahua,5,2004,NPS
Chihuahua,5,2005,NPS
Chihuahua,5,2006,D2
Chihuahua,5,2007,NPS
Chihuahua,5,2008,D0
Chihuahua,5,2009,NPS
Chihuahua,5,2010,NPS
Chihuahua,5,2011,D3
Chihuahua,5,2012,D2
Chihuahua,5,2013,D0
Chihuahua,5,2014,D0
Chihuahua,5,2015,NPS
Chihuahua,5,2016,D0
Chihuahua,5,2017,NPS
Chihuahua,5,2018,D0
Chihuahua,5,2019,NPS
Chihuahua,5,2020,NPS
Chihuahua,5,2021,D2
Chihuahua,6,2003,D1
Chihuahua,6,2004,NPS
Chihuahua,6,2005,NPS
Chihuahua,6,2006,D2
Chihuahua,6,2007,NPS
Chihuahua,6,2008,D1
Chihuahua,6,2009,NPS
Chihuahua,6,2010,NPS
Chihuahua,6,2011,D4
Chihuahua,6,2012,D2
Chihuahua,6,2013,D0
Chihuahua,6,2014,D0
Chihuahua,6,2015,NPS
Chihuahua,6,2016,D0
Chihuahua,6,2017,D0
Chihuahua,6,2018,D0
Chihuahua,6,2019,NPS
Chihuahua,6,2020,D0
Chihuahua,6,2021,D3
Chihuahua,7,2003,D1
Chihuahua,7,2004,NPS
Chihuahua,7,2005,NPS
Chihuahua,7,2006,D1
Chihuahua,7,2007,D0
Chihuahua,7,2008,NPS
Chihuahua,7,2009,NPS
Chihuahua,7,2010,NPS
Chihuahua,7,2011,D4
Chihuahua,7,2012,D1
Chihuahua,7,2013,NPS
Chihuahua,7,2014,D0
Chihuahua,7,2015,NPS
Chihuahua,7,2016,D0
Chihuahua,7,2017,NPS
Chihuahua,7,2018,D0
Chihuahua,7,2019,D0
Chihuahua,7,2020,D0
Chihuahua,7,2021,D0
Chihuahua,8,2003,NPS
Chihuahua,8,2004,NPS
Chihuahua,8,2005,NPS
Chihuahua,8,2006,D0
Chihuahua,8,2007,NPS
Chihuahua,8,2008,NPS
Chihuahua,8,2009,NPS
Chihuahua,8,2010,NPS
Chihuahua,8,2011,D3
Chihuahua,8,2012,D1
Chihuahua,8,2013,NPS
Chihuahua,8,2014,D0
Chihuahua,8,2015,NPS
Chihuahua,8,2016,NPS
Chihuahua,8,2017,NPS
Chihuahua,8,2018,D0
Chihuahua,8,2019,D0
Chihuahua,8,2020,D0
Chihuahua,8,2021,NPS
Chihuahua,9,2003,D0
Chihuahua,9,2004,NPS
Chihuahua,9,2005,NPS
Chihuahua,9,2006,NPS
Chihuahua,9,2007,D0
Chihuahua,9,2008,NPS
Chihuahua,9,2009,NPS
Chihuahua,9,2010,NPS
Chihuahua,9,2011,D2
Chihuahua,9,2012,D1
Chihuahua,9,2013,NPS
Chihuahua,9,2014,NPS
Chihuahua,9,2015,NPS
Chihuahua,9,2016,NPS
Chihuahua,9,2017,NPS
Chihuahua,9,2018,D0
Chihuahua,9,2019,D0
Chihuahua,9,2020,D1
Chihuahua,10,2003,NPS
Chihuahua,10,2004,NPS
Chihuahua,10,2005,NPS
Chihuahua,10,2006,NPS
Chihuahua,10,2007,D1
Chihuahua,10,2008,NPS
Chihuahua,10,2009,NPS
Chihuahua,10,2010,D0
Chihuahua,10,2011,D3
Chihuahua,10,2012,D0
Chihuahua,10,2013,NPS
Chihuahua,10,2014,NPS
Chihuahua,10,2015,NPS
Chihuahua,10,2016,NPS
Chihuahua,10,2017,NPS
Chihuahua,10,2018,NPS
Chihuahua,10,2019,NPS
Chihuahua,10,2020,D1
Chihuahua,11,2003,NPS
Chihuahua,11,2004,NPS
Chihuahua,11,2005,NPS
Chihuahua,11,2006,NPS
Chihuahua,11,2007,D0
Chihuahua,11,2008,NPS
Chihuahua,11,2009,NPS
Chihuahua,11,2010,NPS
Chihuahua,11,2011,D3
Chihuahua,11,2012,NPS
Chihuahua,11,2013,NPS
Chihuahua,11,2014,NPS
Chihuahua,11,2015,NPS
Chihuahua,11,2016,NPS
Chihuahua,11,2017,NPS
Chihuahua,11,2018,NPS
Chihuahua,11,2019,NPS
Chihuahua,11,2020,D2
Chihuahua,12,2003,D0
Chihuahua,12,2004,NPS
Chihuahua,12,2005,D0
Chihuahua,12,2006,NPS
Chihuahua,12,2007,D0
Chihuahua,12,2008,NPS
Chihuahua,12,2009,NPS
Chihuahua,12,2010,D0
Chihuahua,12,2011,D3
Chihuahua,12,2012,NPS
Chihuahua,12,2013,NPS
Chihuahua,12,2014,NPS
Chihuahua,12,2015,NPS
Chihuahua,12,2016,NPS
Chihuahua,12,2017,NPS
Chihuahua,12,2018,NPS
Chihuahua,12,2019,NPS
Chihuahua,12,2020,D2
Ciudad de México,1,2003,D0
Ciudad de México,1,2004,NPS
Ciudad de México,1,2005,NPS
Ciudad de México,1,2006,D0
Ciudad de México,1,2007,NPS
Ciudad de México,1,2008,NPS
Ciudad de México,1,2009,D2
Ciudad de México,1,2010,D0
Ciudad de México,1,2011,NPS
Ciudad de México,1,2012,D0
Ciudad de México,1,2013,NPS
Ciudad de México,1,2014,NPS
Ciudad de México,1,2015,NPS
Ciudad de México,1,2016,D0
Ciudad de México,1,2017,NPS
Ciudad de México,1,2018,D0
Ciudad de México,1,2019,NPS
Ciudad de México,1,2020,NPS
Ciudad de México,1,2021,NPS
Ciudad de México,2,2003,D0
Ciudad de México,2,2004,NPS
Ciudad de México,2,2005,NPS
Ciudad de México,2,2006,D1
Ciudad de México,2,2007,NPS
Ciudad de México,2,2008,NPS
Ciudad de México,2,2009,D2
Ciudad de México,2,2010,D0
Ciudad de México,2,2011,NPS
Ciudad de México,2,2012,NPS
Ciudad de México,2,2013,D0
Ciudad de México,2,2014,NPS
Ciudad de México,2,2015,NPS
Ciudad de México,2,2016,D0
Ciudad de México,2,2017,NPS
Ciudad de México,2,2018,NPS
Ciudad de México,2,2019,NPS
Ciudad de México,2,2020,NPS
Ciudad de México,2,2021,D0
Ciudad de México,3,2003,D0
Ciudad de México,3,2004,NPS
Ciudad de México,3,2005,NPS
Ciudad de México,3,2006,D2
Ciudad de México,3,2007,NPS
Ciudad de México,3,2008,D0
Ciudad de México,3,2009,D2
Ciudad de México,3,2010,D0
Ciudad de México,3,2011,D0
Ciudad de México,3,2012,NPS
Ciudad de México,3,2013,D0
Ciudad de México,3,2014,NPS
Ciudad de México,3,2015,NPS
Ciudad de México,3,2016,D0
Ciudad de México,3,2017,D1
Ciudad de México,3,2018,NPS
Ciudad de México,3,2019,NPS
Ciudad de México,3,2020,NPS
Ciudad de México,3,2021,D0
Ciudad de México,4,2003,D0
Ciudad de México,4,2004,NPS
Ciudad de México,4,2005,NPS
Ciudad de México,4,2006,D1
Ciudad de México,4,2007,NPS
Ciudad de México,4,2008,D0
Ciudad de México,4,2009,D2
Ciudad de México,4,2010,D0
Ciudad de México,4,2011,D1
Ciudad de México,4,2012,NPS
Ciudad de México,4,2013,D0
Ciudad de México,4,2014,NPS
Ciudad de México,4,2015,NPS
Ciudad de México,4,2016,D0
Ciudad de México,4,2017,D0
Ciudad de México,4,2018,NPS
Ciudad de México,4,2019,NPS
Ciudad de México,4,2020,NPS
Ciudad de México,4,2021,D1
Ciudad de México,5,2003,D0
Ciudad de México,5,2004,NPS
Ciudad de México,5,2005,NPS
Ciudad de México,5,2006,D0
Ciudad de México,5,2007,NPS
Ciudad de México,5,2008,D0
Ciudad de México,5,2009,D2
Ciudad de México,5,2010,D0
Ciudad de México,5,2011,D1
Ciudad de México,5,2012,NPS
Ciudad de México,5,2013,D0
Ciudad de México,5,2014,NPS
Ciudad de México,5,2015,NPS
Ciudad de México,5,2016,D0
Ciudad de México,5,2017,D0
Ciudad de México,5,2018,NPS
Ciudad de México,5,2019,D0
Ciudad de México,5,2020,NPS
Ciudad de México,5,2021,NPS
Ciudad de México,6,2003,NPS
Ciudad de México,6,2004,NPS
Ciudad de México,6,2005,D0
Ciudad de México,6,2006,D0
Ciudad de México,6,2007,D1
Ciudad de México,6,2008,D1
Ciudad de México,6,2009,D2
Ciudad de México,6,2010,D0
Ciudad de México,6,2011,D2
Ciudad de México,6,2012,NPS
Ciudad de México,6,2013,NPS
Ciudad de México,6,2014,NPS
Ciudad de México,6,2015,NPS
Ciudad de México,6,2016,D0
Ciudad de México,6,2017,D0
Ciudad de México,6,2018,NPS
Ciudad de México,6,2019,D0
Ciudad de México,6,2020,NPS
Ciudad de México,6,2021,NPS
Ciudad de México,7,2003,NPS
Ciudad de México,7,2004,NPS
Ciudad de México,7,2005,NPS
Ciudad de México,7,2006,D0
Ciudad de México,7,2007,D0
Ciudad de México,7,2008,D0
Ciudad de México,7,2009,D2
Ciudad de México,7,2010,NPS
Ciudad de México,7,2011,D1
Ciudad de México,7,2012,NPS
Ciudad de México,7,2013,D0
Ciudad de México,7,2014,NPS
Ciudad de México,7,2015,NPS
Ciudad de México,7,2016,D0
Ciudad de México,7,2017,D0
Ciudad de México,7,2018,NPS
Ciudad de México,7,2019,D0
Ciudad de México,7,2020,NPS
Ciudad de México,7,2021,NPS
Ciudad de México,8,2003,NPS
Ciudad de México,8,2004,NPS
Ciudad de México,8,2005,NPS
Ciudad de México,8,2006,NPS
Ciudad de México,8,2007,NPS
Ciudad de México,8,2008,D0
Ciudad de México,8,2009,D2
Ciudad de México,8,2010,NPS
Ciudad de México,8,2011,D1
Ciudad de México,8,2012,NPS
Ciudad de México,8,2013,NPS
Ciudad de México,8,2014,NPS
Ciudad de México,8,2015,NPS
Ciudad de México,8,2016,NPS
Ciudad de México,8,2017,NPS
Ciudad de México,8,2018,NPS
Ciudad de México,8,2019,D0
Ciudad de México,8,2020,NPS
Ciudad de México,8,2021,NPS
Ciudad de México,9,2003,NPS
Ciudad de México,9,2004,NPS
Ciudad de México,9,2005,D0
Ciudad de México,9,2006,NPS
Ciudad de México,9,2007,NPS
Ciudad de México,9,2008,D0
Ciudad de México,9,2009,D1
Ciudad de México,9,2010,NPS
Ciudad de México,9,2011,NPS
Ciudad de México,9,2012,NPS
Ciudad de México,9,2013,NPS
Ciudad de México,9,2014,NPS
Ciudad de México,9,2015,NPS
Ciudad de México,9,2016,NPS
Ciudad de México,9,2017,NPS
Ciudad de México,9,2018,NPS
Ciudad de México,9,2019,D0
Ciudad de México,9,2020,NPS
Ciudad de México,10,2003,NPS
Ciudad de México,10,2004,NPS
Ciudad de México,10,2005,NPS
Ciudad de México,10,2006,NPS
Ciudad de México,10,2007,NPS
Ciudad de México,10,2008,D0
Ciudad de México,10,2009,D1
Ciudad de México,10,2010,NPS
Ciudad de México,10,2011,D0
Ciudad de México,10,2012,NPS
Ciudad de México,10,2013,NPS
Ciudad de México,10,2014,NPS
Ciudad de México,10,2015,NPS
Ciudad de México,10,2016,NPS
Ciudad de México,10,2017,NPS
Ciudad de México,10,2018,NPS
Ciudad de México,10,2019,D0
Ciudad de México,10,2020,NPS
Ciudad de México,11,2003,NPS
Ciudad de México,11,2004,NPS
Ciudad de México,11,2005,D0
Ciudad de México,11,2006,NPS
Ciudad de México,11,2007,NPS
Ciudad de México,11,2008,D1
Ciudad de México,11,2009,D1
Ciudad de México,11,2010,NPS
Ciudad de México,11,2011,D0
Ciudad de México,11,2012,NPS
Ciudad de México,11,2013,NPS
Ciudad de México,11,2014,NPS
Ciudad de México,11,2015,NPS
Ciudad de México,11,2016,NPS
Ciudad de México,11,2017,NPS
Ciudad de México,11,2018,NPS
Ciudad de México,11,2019,NPS
Ciudad de México,11,2020,NPS
Ciudad de México,12,2003,NPS
Ciudad de México,12,2004,NPS
Ciudad de México,12,2005,D0
Ciudad de México,12,2006,NPS
Ciudad de México,12,2007,NPS
Ciudad de México,12,2008,D1
Ciudad de México,12,2009,D1
Ciudad de México,12,2010,NPS
Ciudad de México,12,2011,D0
Ciudad de México,12,2012,NPS
Ciudad de México,12,2013,NPS
Ciudad de México,12,2014,NPS
Ciudad de México,12,2015,D0
Ciudad de México,12,2016,NPS
Ciudad de México,12,2017,NPS
Ciudad de México,12,2018,NPS
Ciudad de México,12,2019,NPS
Ciudad de México,12,2020,NPS
Coahuila de Zaragoza,1,2003,NPS
Coahuila de Zaragoza,1,2004,NPS
Coahuila de Zaragoza,1,2005,NPS
Coahuila de Zaragoza,1,2006,D0
Coahuila de Zaragoza,1,2007,NPS
Coahuila de Zaragoza,1,2008,D0
Coahuila de Zaragoza,1,2009,D0
Coahuila de Zaragoza,1,2010,D0
Coahuila de Zaragoza,1,2011,D0
Coahuila de Zaragoza,1,2012,D3
Coahuila de Zaragoza,1,2013,D1
Coahuila de Zaragoza,1,2014,NPS
Coahuila de Zaragoza,1,2015,NPS
Coahuila de Zaragoza,1,2016,NPS
Coahuila de Zaragoza,1,2017,NPS
Coahuila de Zaragoza,1,2018,NPS
Coahuila de Zaragoza,1,2019,NPS
Coahuila de Zaragoza,1,2020,NPS
Coahuila de Zaragoza,1,2021,D1
Coahuila de Zaragoza,2,2003,NPS
Coahuila de Zaragoza,2,2004,NPS
Coahuila de Zaragoza,2,2005,NPS
Coahuila de Zaragoza,2,2006,D0
Coahuila de Zaragoza,2,2007,D0
Coahuila de Zaragoza,2,2008,D1
Coahuila de Zaragoza,2,2009,D0
Coahuila de Zaragoza,2,2010,NPS
Coahuila de Zaragoza,2,2011,NPS
Coahuila de Zaragoza,2,2012,D3
Coahuila de Zaragoza,2,2013,D1
Coahuila de Zaragoza,2,2014,NPS
Coahuila de Zaragoza,2,2015,NPS
Coahuila de Zaragoza,2,2016,NPS
Coahuila de Zaragoza,2,2017,NPS
Coahuila de Zaragoza,2,2018,NPS
Coahuila de Zaragoza,2,2019,NPS
Coahuila de Zaragoza,2,2020,D0
Coahuila de Zaragoza,2,2021,D1
Coahuila de Zaragoza,3,2003,NPS
Coahuila de Zaragoza,3,2004,NPS
Coahuila de Zaragoza,3,2005,NPS
Coahuila de Zaragoza,3,2006,D0
Coahuila de Zaragoza,3,2007,NPS
Coahuila de Zaragoza,3,2008,D1
Coahuila de Zaragoza,3,2009,D0
Coahuila de Zaragoza,3,2010,NPS
Coahuila de Zaragoza,3,2011,D3
Coahuila de Zaragoza,3,2012,D3
Coahuila de Zaragoza,3,2013,D1
Coahuila de Zaragoza,3,2014,NPS
Coahuila de Zaragoza,3,2015,NPS
Coahuila de Zaragoza,3,2016,NPS
Coahuila de Zaragoza,3,2017,NPS
Coahuila de Zaragoza,3,2018,D0
Coahuila de Zaragoza,3,2019,NPS
Coahuila de Zaragoza,3,2020,D0
Coahuila de Zaragoza,3,2021,D1
Coahuila de Zaragoza,4,2003,D0
Coahuila de Zaragoza,4,2004,NPS
Coahuila de Zaragoza,4,2005,NPS
Coahuila de Zaragoza,4,2006,D1
Coahuila de Zaragoza,4,2007,D0
Coahuila de Zaragoza,4,2008,D1
Coahuila de Zaragoza,4,2009,D0
Coahuila de Zaragoza,4,2010,NPS
Coahuila de Zaragoza,4,2011,D3
Coahuila de Zaragoza,4,2012,D3
Coahuila de Zaragoza,4,2013,D1
Coahuila de Zaragoza,4,2014,NPS
Coahuila de Zaragoza,4,2015,NPS
Coahuila de Zaragoza,4,2016,NPS
Coahuila de Zaragoza,4,2017,NPS
Coahuila de Zaragoza,4,2018,NPS
Coahuila de Zaragoza,4,2019,D0
Coahuila de Zaragoza,4,2020,D0
Coahuila de Zaragoza,4,2021,D1
Coahuila de Zaragoza,5,2003,D0
Coahuila de Zaragoza,5,2004,NPS
Coahuila de Zaragoza,5,2005,NPS
Coahuila de Zaragoza,5,2006,D2
Coahuila de Zaragoza,5,2007,NPS
Coahuila de Zaragoza,5,2008,D1
Coahuila de Zaragoza,5,2009,D0
Coahuila de Zaragoza,5,2010,NPS
Coahuila de Zaragoza,5,2011,D3
Coahuila de Zaragoza,5,2012,D2
Coahuila de Zaragoza,5,2013,D0
Coahuila de Zaragoza,5,2014,NPS
Coahuila de Zaragoza,5,2015,NPS
Coahuila de Zaragoza,5,2016,NPS
Coahuila de Zaragoza,5,2017,D0
Coahuila de Zaragoza,5,2018,NPS
Coahuila de Zaragoza,5,2019,NPS
Coahuila de Zaragoza,5,2020,D0
Coahuila de Zaragoza,5,2021,D1
Coahuila de Zaragoza,6,2003,D0
Coahuila de Zaragoza,6,2004,NPS
Coahuila de Zaragoza,6,2005,NPS
Coahuila de Zaragoza,6,2006,D3
Coahuila de Zaragoza,6,2007,NPS
Coahuila de Zaragoza,6,2008,D2
Coahuila de Zaragoza,6,2009,D0
Coahuila de Zaragoza,6,2010,NPS
Coahuila de Zaragoza,6,2011,D4
Coahuila de Zaragoza,6,2012,D1
Coahuila de Zaragoza,6,2013,NPS
Coahuila de Zaragoza,6,2014,NPS
Coahuila de Zaragoza,6,2015,NPS
Coahuila de Zaragoza,6,2016,NPS
Coahuila de Zaragoza,6,2017,NPS
Coahuila de Zaragoza,6,2018,D0
Coahuila de Zaragoza,6,2019,NPS
Coahuila de Zaragoza,6,2020,D1
Coahuila de Zaragoza,6,2021,D1
Coahuila de Zaragoza,7,2003,NPS
Coahuila de Zaragoza,7,2004,NPS
Coahuila de Zaragoza,7,2005,NPS
Coahuila de Zaragoza,7,2006,D3
Coahuila de Zaragoza,7,2007,NPS
Coahuila de Zaragoza,7,2008,NPS
Coahuila de Zaragoza,7,2009,D1
Coahuila de Zaragoza,7,2010,NPS
Coahuila de Zaragoza,7,2011,D3
Coahuila de Zaragoza,7,2012,D1
Coahuila de Zaragoza,7,2013,NPS
Coahuila de Zaragoza,7,2014,NPS
Coahuila de Zaragoza,7,2015,NPS
Coahuila de Zaragoza,7,2016,NPS
Coahuila de Zaragoza,7,2017,D0
Coahuila de Zaragoza,7,2018,D0
Coahuila de Zaragoza,7,2019,NPS
Coahuila de Zaragoza,7,2020,D0
Coahuila de Zaragoza,7,2021,NPS
Coahuila de Zaragoza,8,2003,NPS
Coahuila de Zaragoza,8,2004,NPS
Coahuila de Zaragoza,8,2005,NPS
Coahuila de Zaragoza,8,2006,D4
Coahuila de Zaragoza,8,2007,NPS
Coahuila de Zaragoza,8,2008,NPS
Coahuila de Zaragoza,8,2009,D2
Coahuila de Zaragoza,8,2010,NPS
Coahuila de Zaragoza,8,2011,D3
Coahuila de Zaragoza,8,2012,D1
Coahuila de Zaragoza,8,2013,NPS
Coahuila de Zaragoza,8,2014,NPS
Coahuila de Zaragoza,8,2015,NPS
Coahuila de Zaragoza,8,2016,NPS
Coahuila de Zaragoza,8,2017,D0
Coahuila de Zaragoza,8,2018,D0
Coahuila de Zaragoza,8,2019,D0
Coahuila de Zaragoza,8,2020,D0
Coahuila de Zaragoza,8,2021,NPS
Coahuila de Zaragoza,9,2003,NPS
Coahuila de Zaragoza,9,2004,NPS
Coahuila de Zaragoza,9,2005,D1
Coahuila de Zaragoza,9,2006,NPS
Coahuila de Zaragoza,9,2007,NPS
Coahuila de Zaragoza,9,2008,NPS
Coahuila de Zaragoza,9,2009,D2
Coahuila de Zaragoza,9,2010,NPS
Coahuila de Zaragoza,9,2011,D3
Coahuila de Zaragoza,9,2012,D1
Coahuila de Zaragoza,9,2013,NPS
Coahuila de Zaragoza,9,2014,NPS
Coahuila de Zaragoza,9,2015,NPS
Coahuila de Zaragoza,9,2016,NPS
Coahuila de Zaragoza,9,2017,D0
Coahuila de Zaragoza,9,2018,NPS
Coahuila de Zaragoza,9,2019,NPS
Coahuila de Zaragoza,9,2020,D0
Coahuila de Zaragoza,10,2003,NPS
Coahuila de Zaragoza,10,2004,NPS
Coahuila de Zaragoza,10,2005,NPS
Coahuila de Zaragoza,10,2006,D2
Coahuila de Zaragoza,10,2007,NPS
Coahuila de Zaragoza,10,2008,NPS
Coahuila de Zaragoza,10,2009,NPS
Coahuila de Zaragoza,10,2010,NPS
Coahuila de Zaragoza,10,2011,D4
Coahuila de Zaragoza,10,2012,D1
Coahuila de Zaragoza,10,2013,NPS
